Quality,Item Name,Type,Brand,Core,Core 2,Core 3,Attribute 1,Attribute 2,Mod,Talent,Icon,Icon Ref
Exotic,Acosta's Go-Bag,E,Exotic,Skill Tier,,,Skill Haste,Skill Damage,U,One in Hand...,acostas_go_bag.png,player_gear_back_exotic_01_pm_b_ex1_a1
High End,5.11 Tactical,A,5.11 Tactical,Armor,,,A,A,D,A,511_tactical.png,player_gear_back_511_02_pm_b_511_a.png
Gearset,Aces & Eights,S,Aces & Eights,Weapon Damage,,,A,,O,Ace in the Sleeve,aces_and_eights.png,player_gear_set_f_backpack_01_pm_b_set3_a1.png
High End,Airaldi Holdings,A,Airaldi Holdings,Weapon Damage,,,A,A,O,A,airaldi_holdings.png,
High End,Alps Summit Armaments,A,Alps Summit Armaments,Skill Tier,,,A,A,U,A,alps_summit_armaments.png,player_gear_back_k_01_pm_b_alp_d1
Named,Percussive Maintenance,N,Alps Summit Armaments,Skill Tier,,,A,A,U,Perfect Tech Support,percussive_maintenance.png,player_gear_back_k_named_01_pm_b_alp_g1
High End,Badger Tuff,A,Badger Tuff,Armor,,,A,A,O,A,badger_tuff.png,player_gear_back_h_01_pm_b_bad_b1
High End,Ceska Vyroba s.r.o.,A,Ceska Vyroba s.r.o.,Weapon Damage,,,A,A,D,A,ceska_vyroba_sro.png,player_gear_back_l_01_pm_b_ces_a1
Named,Devil's Due,N,Ceska Vyroba s.r.o.,Weapon Damage,,,A,A,D,Perfect Clutch,devils_due.png,player_gear_back_l_01_named_pm_b_ces_a1
High End,China Light Industries Corporation,A,China Light Industries Corporation,Skill Tier,,,A,A,U,A,china_light_industries_corporation.png,player_gear_back_e_01_pm_b_chi_a1
Named,Strategic Alignment,N,China Light Industries Corporation,Skill Tier,,,A,A,U,Perfect Shock and Awe,strategic_alignment.png,player_gear_back_g_01_pm_b_pro_b1
High End,Douglas & Harding,A,Douglas & Harding,Weapon Damage,,,A,A,O,A,douglas_and_harding.png,
High End,Fenris Group AB,A,Fenris Group AB,Weapon Damage,,,A,A,O,A,fenris_group_ab.png,
Gearset,Foundry Bulwark,S,Foundry Bulwark,Armor,,,A,,D,Process Refinery,foundry_bulwark.png,
Gearset,Future Initiative,S,Future Initiative,Skill Tier,,,A,,U,Strategic Combat Support,future_initiative.png,player_gear_set_i_backpack_01_pm_b_set10_a1
High End,Gila Guard,A,Gila Guard,Armor,,,A,A,D,A,gila_guard.png,player_gear_back_b_01_pm_b_pal_a1
High End,Golan Gear Ltd,A,Golan Gear Ltd,Armor,,,A,A,U,A,golan_gear.png,
Named,Anarchist's Cookbook,N,Golan Gear Ltd,Armor,,,A,A,U,Perfectly Wicked,anarchists_cookbook.png,player_gear_back_e1_01_named_pm_b_gol_a1
High End,Grupo Sombra S.A.,A,Grupo Sombra S.A.,Weapon Damage,,,A,A,U,A,grupo_sombra_sa.png,
High End,Hana-U Corporation,A,Hana-U Corporation,Skill Tier,,,A,A,O,A,hana_u_corporation.png,player_gear_back_q_01_pm_b_han_a1
Named,Force Multiplier,N,Hana-U Corporation,Skill Tier,,,A,A,O,Perfect Combined Arms,force_multiplier.png,player_gear_back_q_01_named_pm_b_han_a1
Gearset,Hard Wired,S,Hard Wired,Skill Tier,,,A,,U,Short Circuit,hard_wired.png,
High End,Murakami Industries,A,Murakami Industries,Skill Tier,,,A,A,U,A,murakami_industries.png,player_gear_back_s_01_pm_b_mur_a1
Gearset,Negotiator's Dilemma,S,Negotiator's Dilemma,Weapon Damage,,,A,,O,Critical Measures,negotiators_dilemma.png,player_gear_set_d_backpack_01_pm_b_set1_a1
Gearset,Ongoing Directive,S,Ongoing Directive,Weapon Damage,,,A,,U,Trauma Specialist,ongoing_directive.png,
High End,Overlord Armaments,A,Overlord Armaments,Weapon Damage,,,A,A,O,A,overlord_armaments.png,
High End,Petrov Defense Group,A,Petrov Defense Group,Weapon Damage,,,A,A,O,A,petrov_defense.png,player_gear_back_d_crafted_01_pm_b_pet_b1
High End,Providence Defense,A,Providence Defense,Weapon Damage,,,A,A,O,A,providence_defense.png,
