Quality,Slot,Talent,Desc,Attr.,Val
A,Backpack,Bloodsucker,Killing an enemy adds and refreshes a stack of +10% bonus armor for 10s. Max stack is 10.,,
A,Backpack,Calculated,Kills from cover reduce skill cooldowns by 10%.,,
A,Backpack,Clutch,"If you are below 15% armor, critical hits repair 2.5% missing armor. Kills allow you to repair up to 100% armor for 4-10s, based on your number of offensive core attributes.",,
A,Backpack,Combined Arms,Shooting an enemy increases total skill damage by 25% for 3s.,,
A,Backpack,Companion,"While you are within 5m of an ally or skill, total weapon damage is increased by 15%.",,
A,Backpack,Composure,"While in cover, increases total weapon damage by 15%.",,
A,Backpack,Concussion,Headshots increase total weapon damage by 10% for 1.5s. 5s with marksman rifles. Headshot kills increase total weapon damage by 15% for 10s.,,
A,Backpack,Creeping Death,"When you apply a status effect, it is also applied to all enemies within 8m of your target. Cooldown: 15s",,
A,Backpack,Energize,"Using an armor kit grants +1 skill tier for 15s. If already at skill tier 6, grants overcharge. Cooldown: 60s",,
A,Backpack,Galvanize,"Applying a blind, ensnare, confuse, or shock to an enemy grants 40% of your armor as bonus armor to allies within 20m of that enemy for 10s.",,
A,Backpack,Leadership,Performing a cover to cover grants 15% of your armor as bonus armor to you and all allies for 10s. This is doubled if you end within 10m of an enemy. Cooldown: 10s,,
A,Backpack,Opportunistic,"Enemies you hit with shotguns and marksman rifles amplifies the damage they take by 10% from all sources for 5s.

REQUIRES a Marksman Rifle or Shotgun Drawn",,
A,Backpack,Overclock,"Allies within 7m of your deployed skills, gain +25% reload speed and reduces their active cooldowns by 0.2s each second.",,
A,Backpack,Protector,"When your shield is damaged, you gain +5% bonus armor and all other allies gain 15% of your armor as bonus armor for 3s. Cooldown: 3s",,
A,Chest,Reassigned,Killing an enemy adds 1 round of a random special ammo into your sidearm. Cooldown: 15s,,
A,Backpack,Safeguard,"While at full armor, increases total skill repair by 100%.",,
A,Backpack,Shock and Awe,Applying a status effect to an enemy increases total skill damage and repair by 20% for 20s.,,
A,Backpack,Tech Support,Skill kills increase total skill damage by 25% for 20s.,,
A,Backpack,Unstoppable Force,Killing an enemy increases total weapon damage by 5% for 15s. Stacks up to 5 times.,,
A,Backpack,Versatile,Amplifies total weapon damage for 10s when swapping between your primary and secondary weapons if they are different. 35% to enemies within 15m for Shotguns and SMGs. 35% to enemies further than 25m for Rifles and Marksman Rifles. 10% to enemies between 15-25m for LMGs and Assault Rifles. At most once per 5s per weapon type.,,
A,Backpack,Vigilance,Increases total weapon damage by 25%. Taking damage disables this buff for 4s.,,
A,Backpack,Wicked,Applying a status effect increases total weapon damage by 18% for 20s.,,
A,Chest,Empathic Resolve,Repairing an ally increases their total weapon and skill damage by 3-15% for 20s. 1-7% if self. Effectiveness increased by your skill tier.,,
A,Chest,Mad Bomber,"Grenade radius is increased by 50%. Grenades that kill an enemy are refunded. Grenades can now be ""cooked"" by holding the fire button, making them explode earlier. Gain +15% bonus armor while aiming grenades.",,
A,Chest,Overwatch,"After staying in cover for 10s, increases you and your allies’ total weapon and skill damage by 12% as long as you remain in cover or in a cover-to-cover move.",,
