Quality,Item Name,Type,Brand,Core,Attribute 1,Attribute 2,Mod,Talent,Icon,Icon Ref
Exotic,BTSU Gloves,E,Exotic,Skill Tier,Skill Haste,Repair Skills,,Transference Overclock,btsu_gloves.png,player_gear_gloves_exotic_01_pm_g_ex2_a1
Gearset,Aces & Eights,S,Aces & Eights,Weapon Damage,A,,,,aces_and_eights.png,player_gear_set_f_gloves_01_pm_g_set3_a1.png
Gearset,Foundry Bulwark,S,Foundry Bulwark,Armor,A,,,,foundry_bulwark.png,
Gearset,Future Initiative,S,Future Initiative,Skill Tier,A,,,,future_initiative.png,
Gearset,Hard Wired,S,Hard Wired,Skill Tier,A,,,,hard_wired.png,
Gearset,Negotiator's Dilemma,S,Negotiator's Dilemma,Weapon Damage,A,,,,negotiators_dilemma.png,
Gearset,Ongoing Directive,S,Ongoing Directive,Weapon Damage,A,,,,ongoing_directive.png,
Gearset,Striker's Battlegear,S,Striker's Battlegear,Weapon Damage,A,,,,strikers_battlegear.png,player_gear_set_j_gloves_01_pm_g_set11_a1
Gearset,System Corruption,S,System Corruption,Weapon Damage,A,,,,system_corruption.png,
Gearset,Tip of the Spear,S,Tip of the Spear,Weapon Damage,A,,,,tip_of_the_spear.png,
Gearset,True Patriot,S,True Patriot,Armor,A,,,,true_patriot.png,
Gearset,Eclipse Protocol,S,Eclipse Protocol,Skill Tier,A,,,,eclipse_protocol.png,
Gearset,Hunter's Fury,S,Hunter's Fury,Weapon Damage,A,,,,hunters_fury.png,
Gearset,Rigger,S,Rigger,Skill Tier,A,,,,rigger.png,
High End,5.11 Tactical,A,5.11 Tactical,Armor,A,A,,,511_tactical.png,
High End,Airaldi Holdings,A,Airaldi Holdings,Weapon Damage,A,A,,,airaldi_holdings.png,
High End,Alps Summit Armaments,A,Alps Summit Armaments,Skill Tier,A,A,,,alps_summit_armaments.png,
High End,Badger Tuff,A,Badger Tuff,Armor,A,A,,,badger_tuff.png,
High End,Ceska Vyroba s.r.o.,A,Ceska Vyroba s.r.o.,Weapon Damage,A,A,,,ceska_vyroba_sro.png,
High End,China Light Industries Corporation,A,China Light Industries Corporation,Skill Tier,A,A,,,china_light_industries_corporation.png,
High End,Douglas & Harding,A,Douglas & Harding,Weapon Damage,A,A,,,douglas_and_harding.png,
High End,Fenris Group AB,A,Fenris Group AB,Weapon Damage,A,A,,,fenris_group_ab.png,
High End,Gila Guard,A,Gila Guard,Armor,A,A,,,gila_guard.png,
High End,Golan Gear Ltd,A,Golan Gear Ltd,Armor,A,A,,,golan_gear.png,
High End,Grupo Sombra S.A.,A,Grupo Sombra S.A.,Weapon Damage,A,A,,,grupo_sombra_sa.png,
High End,Hana-U Corporation,A,Hana-U Corporation,Skill Tier,A,A,,,hana_u_corporation.png,
High End,Murakami Industries,A,Murakami Industries,Skill Tier,A,A,,,murakami_industries.png,
High End,Overlord Armaments,A,Overlord Armaments,Weapon Damage,A,A,,,overlord_armaments.png,
High End,Petrov Defense Group,A,Petrov Defense Group,Weapon Damage,A,A,,,petrov_defense_group.png,
High End,Providence Defense,A,Providence Defense,Weapon Damage,A,A,,,providence_defense.png,
High End,Richter & Kaiser GmbH,A,Richter & Kaiser GmbH,Skill Tier,A,A,,,richter_and_kaiser_gmbh.png,
High End,Sokolov Concern,A,Sokolov Concern,Weapon Damage,A,A,,,sokolov_concern.png,
High End,Wyvern Wear,A,Wyvern Wear,Skill Tier,A,A,,,wyvern_wear.png,
High End,Yaahl Gear,A,Yaahl Gear,Armor,A,A,,,yaahl_gear.png,
High End,Improvised Gloves,A,Crafted,A,A,A,A,,improvised_gloves.png,
High End,"Walker, Harris & Co.",A,"Walker, Harris & Co.",Weapon Damage,A,A,,,walker_harris_and_co.png,
High End,Empress International,A,Empress International,Skill Tier,A,A,,,empress_international.png,
High End,Belstone Armory,A,Belstone Armory,Armor,A,A,,,belstone_armory.png,
Named,Deathgrips,N,5.11 Tactical,Armor,Armor on Kill %,A,,,deathgrips.png,
Named,Motherly Love,N,Alps Summit Armaments,Skill Tier,Skill Health,A,,,motherly_love.png,
Named,Contractor's Gloves,N,Petrov Defense Group,Weapon Damage,Damage to Armor,A,,,contractors_gloves.png,
Named,Firm Handshake,N,Sokolov Concern,Weapon Damage,Status Effects,A,,,firm_handshake.png,
High End,Uzina Getica,A,Uzina Getica,Armor,A,A,,,uzina_getica.png,
Gearset,Heartbreaker,S,Heartbreaker,Armor,A,,,,heartbreaker.png,
Exotic,Bloody Knuckles,N,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,,Seeing Red,bloody_knuckles.png,player_gloves_tu16_bloody_knuckles_exotic
Gearset,Umbra Initiative,S,Umbra Initiative,Weapon Damage,A,,,,umbra_initiative.png,player_gloves_tu16_umbra_pm_g_y4_raven
High End,Brazos de Arcabuz,A,Brazos de Arcabuz,Armor,A,A,,,brazos_de_arcabuz.png,
Gearset,Hotshot,S,Hotshot,Weapon Damage,A,,,,hotshot.png,
High End,Habsburg Guard,A,Habsburg Guard,Armor,A,A,,,habsburg_guard.png,
High End,Electrique,A,Electrique,Skill Tier,A,A,,,electrique.png,
Gearset,Cavalier,S,Cavalier,Armor,A,,,,cavalier.png,
High End,Lengmo,A,Lengmo,Armor,A,A,,,lengmo.png,
Gearset,Ortiz: Exuro,S,Ortiz: Exuro,Skill Tier,A,,,,ortiz_exuro.png,
Exotic,Rugged Gauntlets,E,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,,Iron Grip,,
Gearset,Aegis,S,Aegis,Armor,A,,,,,
High End,Palisade Steelworks,A,Palisade Steelworks,Armor,A,A,,,,
High End,Zwiadowka Sp. z o.o.,A,Zwiadowka Sp. z o.o.,Weapon Damage,A,A,,,,
Gearset,Breaking Point,S,Breaking Point,Weapon Damage,A,,,,,
Named,Eagle's Grasp,N,Zwiadowka Sp. z o.o.,Weapon Damage,Weapon Handling,A,,,,
High End,Legatus S.P.A,A,Legatus S.P.A,Weapon Damage,A,A,,,,
Gearset,Virtuoso,S,Virtuoso,Weapon Damage,A,,,,,
High End,Shiny Monkey Gear,A,Shiny Monkey Gear,Skill Tier,A,A,,,,
Gearset,Refactor,S,Refactor,Armor,A,,,,,
Exotic,Exodus,E,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,,Smoke Screen,,
High End,Imminence Armaments,A,Imminence Armaments,Weapon Damage,A,A,,,,
