Quality,Item Name,Type,Brand,Core,Attribute 1,Attribute 2,Attribute 3,Mod,Talent,Icon,Icon Ref
Exotic,Dodge City Gunslinger's Holster,E,Exotic,Weapon Damage,Weapon Handling,Headshot Damage,,,Quick Draw,dodge_city_gunslinger.png,player_gear_holster_exotic_01_pm_t_ex1_a1
Exotic,Imperial Dynasty,E,Exotic,Skill Tier,Status Effects,Hazard Protection,,,Dragon's Glare,imperial_dynasty.png,
High End,5.11 Tactical,A,5.11 Tactical,Armor,A,A,,,,511_tactical.png,
Gearset,Aces & Eights,S,Aces & Eights,Weapon Damage,A,,,,,aces_and_eights.png,player_gear_set_f_holster_01_pm_t_set3_a1.png
High End,Airaldi Holdings,A,Airaldi Holdings,Weapon Damage,A,A,,,,airaldi_holdings.png,
High End,Alps Summit Armaments,A,Alps Summit Armaments,Skill Tier,A,A,,,,alps_summit_armaments.png,
High End,Badger Tuff,A,Badger Tuff,Armor,A,A,,,,badger_tuff.png,
Named,Ammo Dump,N,Badger Tuff,Armor,Ammo Capacity,A,,,,ammo_dump.png,
High End,Ceska Vyroba s.r.o.,A,Ceska Vyroba s.r.o.,Weapon Damage,A,A,,,,ceska_vyroba_sro.png,
High End,China Light Industries Corporation,A,China Light Industries Corporation,Skill Tier,A,A,,,,china_light_industries_corporation.png,
High End,Douglas & Harding,A,Douglas & Harding,Weapon Damage,A,A,,,,douglas_and_harding.png,
High End,Fenris Group AB,A,Fenris Group AB,Weapon Damage,A,A,,,,fenris_group_ab.png,
Gearset,Foundry Bulwark,S,Foundry Bulwark,Armor,A,,,,,foundry_bulwark.png,
Gearset,Future Initiative,S,Future Initiative,Skill Tier,A,,,,,future_initiative.png,
High End,Gila Guard,A,Gila Guard,Armor,A,A,,,,gila_guard.png,
High End,Golan Gear Ltd,A,Golan Gear Ltd,Armor,A,A,,,,golan_gear_ltd.png,
High End,Grupo Sombra S.A.,A,Grupo Sombra S.A.,Weapon Damage,A,A,,,,grupo_sombra_sa.png,
High End,Hana-U Corporation,A,Hana-U Corporation,Skill Tier,A,A,,,,hana_u_corporation.png,
Gearset,Hard Wired,S,Hard Wired,Skill Tier,A,,,,,hard_wired.png,
High End,Murakami Industries,A,Murakami Industries,Skill Tier,A,A,,,,murakami_industries.png,
Gearset,Negotiator's Dilemma,S,Negotiator's Dilemma,Weapon Damage,A,,,,,negotiators_dilemma.png,
Gearset,Ongoing Directive,S,Ongoing Directive,Weapon Damage,A,,,,,ongoing_directive.png,
High End,Overlord Armaments,A,Overlord Armaments,Weapon Damage,A,A,,,,overloard_armaments.png,
High End,Petrov Defense Group,A,Petrov Defense Group,Weapon Damage,A,A,,,,petrov_defense_group.png,
High End,Providence Defense,A,Providence Defense,Weapon Damage,A,A,,,,providence_defense.png,
High End,Richter & Kaiser GmbH,A,Richter & Kaiser GmbH,Skill Tier,A,A,,,,richter_and_kaiser_gmbh.png,
Named,Forge,N,Richter & Kaiser GmbH,Skill Tier,Shield Health,A,,,,forge.png,
High End,Sokolov Concern,A,Sokolov Concern,Weapon Damage,A,A,,,,sokolov_concern.png,
Gearset,Striker's Battlegear,S,Striker's Battlegear,Weapon Damage,A,,,,,striker_battlegear.png,player_gear_set_j_holster_01_pm_t_set11_a1
Gearset,System Corruption,S,System Corruption,Weapon Damage,A,,,,,system_corruption.png,
Gearset,Tip of the Spear,S,Tip of the Spear,Weapon Damage,A,,,,,tip_of_the_spear.png,
Gearset,True Patriot,S,True Patriot,Armor,A,,,,,true_patriot.png,
High End,Wyvern Wear,A,Wyvern Wear,Skill Tier,A,A,,,,wyvern_wear.png,
Named,Claws Out,N,Wyvern Wear,Skill Tier,Melee Damage,A,Pistol Damage,,,claws_out.png,
High End,Yaahl Gear,A,Yaahl Gear,Armor,A,A,,,,yaahl_gear.png,
High End,Improvised Holster,A,Crafted,A,A,A,,A,,improvised_holster.png,
High End,"Walker, Harris & Co.",A,"Walker, Harris & Co.",Weapon Damage,A,A,,,,walker_harris_and_co.png,
Gearset,Eclipse Protocol,S,Eclipse Protocol,Skill Tier,A,,,,,eclipse_protocol.png,
High End,Empress International,A,Empress International,Skill Tier,A,A,,,,empress_international.png,
Gearset,Hunter's Fury,S,Hunter's Fury,Weapon Damage,A,,,,,hunters_fury.png,
Gearset,Rigger,S,Rigger,Skill Tier,A,,,,,rigger.png,
Exotic,Waveform,E,Exotic,Skill Tier,Skill Damage,Skill Haste,,,Alternating Current,waveform.png,
High End,Belstone Armory,A,Belstone Armory,Armor,A,A,,,,belstone_armory.png,
High End,Uzina Getica,A,Uzina Getica,Armor,A,A,,,,uzina_getica.png,
Gearset,Heartbreaker,S,Heartbreaker,Armor,A,,,,,heartbreaker.png,
Named,Picaro's Holster,N,Brazos de Arcabuz,Armor,Weapon Damage,A,,,,picaros_holster.png,
Gearset,Umbra Initiative,S,Umbra Initiative,Weapon Damage,A,,,,,umbra_initiative.png,player_gear_holster_tu16_umbra_pm_t_raven_a1
High End,Brazos de Arcabuz,A,Brazos de Arcabuz,Armor,A,A,,,,brazos_de_arbabuz.png,
Gearset,Hotshot,S,Hotshot,Weapon Damage,A,,,,,hotshot.png,
High End,Habsburg Guard,A,Habsburg Guard,Armor,A,A,,,,habsburg_guard.png,
High End,Electrique,A,Electrique,Skill Tier,A,A,,null,,electrique.png,
Gearset,Cavalier,S,Cavalier,Armor,A,,,,,cavalier.png,
Exotic,Shocker Punch,E,Exotic,Armor,Explosive Resistance,Hazard Protection,,,Defibrillator,shocker_punch.png,player_gear_holster_exotic_04_shockerpunch_icon
High End,Lengmo,A,Lengmo,Armor,A,A,,,,lengmo.png,
Gearset,Ortiz: Exuro,S,Ortiz: Exuro,Skill Tier,A,,,,,ortiz_exuro.png,
Gearset,Aegis,E,Aegis,Armor,A,,,,,,
High End,Palisade Steelworks,A,Palisade Steelworks,Armor,A,A,,,,,
High End,Zwiadowka Sp. z o.o.,A,Zwiadowka Sp. z o.o.,Weapon Damage,A,A,,,,,
Gearset,Breaking Point,S,Breaking Point,Weapon Damage,A,,,,,,
Exotic,Centurion's Scabbard,E,Exotic,Weapon Damage,Weapon Handling,Critical Hit Chance,,,Counter,centurionsscabbard.png,player_gear_holster_exotic_05_pm_t_ex5_a1_icon.png
High End,Legatus S.P.A,A,Legatus S.P.A,Weapon Damage,A,A,,,,,
Gearset,Virtuoso,S,Virtuoso,Weapon Damage,A,,,,,,
High End,Shiny Monkey Gear,A,Shiny Monkey Gear,Skill Tier,A,A,,,,,
Gearset,Refactor,S,Refactor,Skill Tier,A,,,,,,
Exotic,Nimble Holster,E,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,,,Bob and Weave,nimble_holster.png,
High End,Imminence Armaments,A,Imminence Armaments,Weapon Damage,A,A,,,,,
Gearset,Measured Assembly,S,Measured Assembly,Skill Tier,A,,,,,,
Gearset,Tipping Scales,S,Tipping Scales,Weapon Damage,A,,,,,tipping_scales.png,
High End,Urban Lookout,A,Urban Lookout,Armor,A,A,,,,urban_lookout.png,
Named,Spot-on,N,Urban Lookout,Weapon Damage,Accuracy,A,,,,spot_on.png,
High End,Unit Alloys,A,Unit Alloys,Weapon Damage,A,A,,,,unit_alloys.png,
Gearset,Concentrated Company,S,Concentrated Company,Weapon Damage,A,,,,,concentrated_company.png,
Named,Salvo,N,Unit Alloys,Weapon Damage,Rate of Fire %,A,,,,unit_alloys.png,
High End,Royal Works,A,Royal Works,Weapon Damage,A,A,,,,royal_works.png,
Gearset,Core Strength,S,Core Strength,Armor,A,,,,,core_strength.png,
High End,Edelweiss GPz,A,Edelweiss GPz,Skill Tier,A,A,,,,edelweiss_gpz.png,
Gearset,Ortiz: Reficere,S,Ortiz: Reficere,Skill Tier,A,,,,,ortiz_reficere.png,
