Quality,Item Name,Type,Brand,Core,Attribute 1,Attribute 2,Mod,Talent,Icon,Icon Ref
Exotic,NinjaBike Messenger Kneepads,E,Exotic,Weapon Damage,Critical Hit Chance,Critical Hit Damage,,Parkour!,ninjabike_messenger.png,player_gear_kneepads_exotic_02_pm_k_ex2_a1
Exotic,Sawyer's Kneepads,E,Exotic,Armor,Explosive Resistance,Health,,Stand Your Ground,sawyers.png,player_gear_kneepads_exotic_01_pm_k_ex1_a1
High End,5.11 Tactical,A,5.11 Tactical,Armor,A,A,,,511_tactical.png,
Gearset,Aces & Eights,S,Aces & Eights,Weapon Damage,A,,,,aces_and_eights.png,player_gear_set_f_kneepads_01_pm_k_set3_a1.png
High End,Airaldi Holdings,A,Airaldi Holdings,Weapon Damage,A,A,,,airaldi_holdings.png,
High End,Alps Summit Armaments,A,Alps Summit Armaments,Skill Tier,A,A,,,apls_summit.png,
High End,Badger Tuff,A,Badger Tuff,Armor,A,A,,,badger_tuff.png,
High End,Ceska Vyroba s.r.o.,A,Ceska Vyroba s.r.o.,Weapon Damage,A,A,,,ceska_vyroba_sro.png,
High End,China Light Industries Corporation,A,China Light Industries Corporation,Skill Tier,A,A,,,china_light_industries_corporation.png,
High End,Douglas & Harding,A,Douglas & Harding,Weapon Damage,A,A,,,douglas_and_harding.png,
High End,Fenris Group AB,A,Fenris Group AB,Weapon Damage,A,A,,,fenris_group_ab.png,
Gearset,Foundry Bulwark,S,Foundry Bulwark,Armor,A,,,,foundry_bulwark.png,
Gearset,Future Initiative,S,Future Initiative,Skill Tier,A,,,,future_initiative.png,
High End,Gila Guard,A,Gila Guard,Armor,A,A,,,gila_guard.png,
High End,Golan Gear Ltd,A,Golan Gear Ltd,Armor,A,A,,,golan_gear_ltd.png,
High End,Grupo Sombra S.A.,A,Grupo Sombra S.A.,Weapon Damage,A,A,,,grupo_sombra_sa.png,
High End,Hana-U Corporation,A,Hana-U Corporation,Skill Tier,A,A,,,hana_u_corporation.png,
Gearset,Hard Wired,S,Hard Wired,Skill Tier,A,,,,hard_wired.png,
High End,Murakami Industries,A,Murakami Industries,Skill Tier,A,A,,,murakami_industries.png,
Named,Emperor's Guard,N,Murakami Industries,Skill Tier,Armor Regeneration %,A,,,emperors_guard.png,
Gearset,Negotiator's Dilemma,S,Negotiator's Dilemma,Weapon Damage,A,,,,negotiators_dilemma.png,
