Skill Stat ID,Skill Variant Name,Display,Stat,Val,Unit,Tier 0,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Overcharge,Type,Stat Bonus,Snowflake
1,Achilles Pulse,TRUE,Cone Size,20°,°,20,,,,,,,,,Cone Size,
10,Airburst Seeker Mine,TRUE,Damage,"331,811",,30,,,,,,,3,U,Skill Haste,
100,Crusader Ballistic Shield,FALSE,PvP Damage Taken Modifier,8,,564079,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,60.00%,O,Blast Damage,
101,Crusader Ballistic Shield,TRUE,Shield Health,"1,327,245 HP", HP,3,1,2,3,4,5,6,6,U,Extra Bombs,
102,Defender Drone,TRUE,Armor Repair,,,152301,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,60.00%,O,Blast Damage,
103,Defender Drone,TRUE,Cooldown,20s,s,,,,,,,,,B,(Blank),
104,Defender Drone,TRUE,Damage Reduction,20%,%,,,,,,,,,,Damage,
105,Defender Drone,TRUE,Deflect Duration,,,,,,,,,,,,Healing,
106,Defender Drone,TRUE,Duration,20s,s,,,,,,,,,,Reviver Armor Repair,
107,Defender Drone,TRUE,Health,"1,061,796 HP", HP,0.2,33.00%,66.00%,100.00%,133.00%,166.00%,200.00%,400.00%,U,Stim Efficiency,
108,Defender Drone,FALSE,PvP Damage Reduction,10%,%,8,4,8,12,16,20,24,24,U,Stim Charges,
109,Deflector Ballistic Shield,TRUE,Active Regeneration,"63,708 HP/s", HP/s,8,5.00%,10.00%,15.00%,20.00%,25.00%,30.00%,100.00%,U,Range,
11,Airburst Seeker Mine,TRUE,Health,"199,087 HP", HP,331811,10.00%,20.00%,30.00%,40.00%,50.00%,60.00%,100.00%,O,Skill Damage,
110,Deflector Ballistic Shield,TRUE,Average Damage (Depends on weapon type),"80,465",,8,5.00%,10.00%,15.00%,20.00%,25.00%,30.00%,100.00%,U,Range,
111,Deflector Ballistic Shield,TRUE,Cooldown,20s,s,,,,,,,,,,Repair Charges,
112,Deflector Ballistic Shield,TRUE,Damage Bonus (Per Enemy),,,,,,,,,,,,Stim Charges,
113,Deflector Ballistic Shield,TRUE,Deflector Damage,,,,,,,,,,,,Stinger Charges,
114,Deflector Ballistic Shield,TRUE,Holstered Regeneration,"106,180 HP/s", HP/s,180,,,,,,,,U,Skill Duration,
115,Deflector Ballistic Shield,FALSE,PvP Damage Taken Modifier,8,,180,,,,,,,,U,Skill Duration,
116,Deflector Ballistic Shield,TRUE,Shield Health,"2,123,592 HP", HP,796347,70.00%,140.00%,210.00%,280.00%,350.00%,420.00%,420.00%,U,Skill Health,
117,Demolisher Firefly,TRUE,Cooldown,50s,s,5,,,,,,,,,Buff Duration,
118,Demolisher Firefly,TRUE,Damage,"1,659,056",,11.3,,,,,,,1.5,,Skill Haste,
119,Demolisher Firefly,TRUE,Health,"663,623 HP", HP,,,,,,,,,B,(Blank),
12,Airburst Seeker Mine,FALSE,PvP Burn Damage,"11,945",,6,,,,,,,,U,Range,
120,Demolisher Firefly,TRUE,Max Targets,3,,,,,,,,,,,Damage Bonus (Per Enemy),
121,Demolisher Firefly,FALSE,PvP Damage,"3,318,112",,,,,,,,,,,Deflector Damage,
122,Demolisher Firefly,TRUE,Speed,1,,132725,5.00%,10.00%,15.00%,20.00%,25.00%,40.00%,40.00%,U,Holstered Regeneration,
