Skill ID,Item Name,Icon,Variant,Quality,Specialization,Mod 1,Mod 2,Mod 3,Desc,Status,Expertise Bonus,Slot One,Slot Two,Slot Three
1,Sticky Bomb,stickybomb_burn.png,Burn,High End,,A,A,A,The Sticky Bomb Launcher Burn variant shoots an adhesive payload that burns the target and creates a flame that can ignite nearby hostiles. It can be remote detonated to burn a large area.,Burn,Burn Damage,Launcher Slot,Payload Slot,
2,Sticky Bomb,stickybomb_emp.png,EMP,High End,,A,A,A,The Sticky Bomb Launcher EMP variant shoots an adhesive payload that disrupts the target continuously. It can be remote detonated to create a large EMP blast.,Disrupt,EMP Blast Radius,Launcher Slot,Payload Slot,
3,Sticky Bomb,stickybomb_explosive.png,Explosive,High End,,A,A,A,"The Sticky Bomb Launcher Explosive variant shoots an adhesive payload that causes panic in targets, and can be remote detonated for a large explosion.",,Damage,Launcher Slot,Payload Slot,
4,Trap,trap_repair.png,Repair,High End,,A,A,A,"The Repair Trap scatters a minefield of small devices capable of repairing friendlies in their proximity.

Cooldown reduced when traps expire.",,Repair,Charge Slot,Electronics Slot,
5,Trap,trap_shock.png,Shock,High End,,A,A,A,"The Shock Trap scatters a minefield of small devices capable of shocking targets moving in their proximity.

Cooldown reduced when traps expire.",Shock,Shock Duration,Charge Slot,Electronics Slot,
6,Trap,trap_shrapnel.png,Shrapnel,High End,,A,A,A,The Shrapnel Tap scatters a minefield of small explosive devices that can attach to any surface (including enemies) and then detonate based on enemy proximity.,Bleed,Damage,Charge Slot,Electronics Slot,
7,Decoy,decoy_holographic.png,Holographic Distraction,High End,,A,A,A,"The Distraction Decoy creates a lifelike projection of a threat to hostiles, drawing their attention from the user.",,Threat,Projector Slot,Housing Slot,
8,Pulse,pulse_achillies.png,Achilles,High End,,A,A,A,"Target a single enemy with a pulse which identifies weaknesses, highlights them and causes damage to those areas to take headshot damage.

Useful for solo snipers, or as a support skill user painting targets for your teammates.",,Damage,Coil Slot,Housing Slot,
9,Pulse,pulse_banshee.png,Banshee,High End,Gunner,A,A,A,The banshee launches a forward arc of pulse energy that disorients enemies caught in the wave. Penetrates cover.,Disoriented,Disorient Duration,Coil Slot,Housing Slot,
10,Pulse,pulse_jammer.png,Jammer,High End,,A,A,A,"The jammer pulses outwards, overloading and disabling hostile electronics.",Disrupt,Radius,Coil Slot,Housing Slot,
11,Pulse,pulse_remote.png,Remote,High End,,A,A,A,The remote is deployed at a set location and continually pulses the nearby area for hostiles and visually highlights them on the agent's HUD.,,Radius,Coil Slot,Housing Slot,
12,Pulse,pulse_scanner.png,Scanner,High End,,A,A,A,The scanner pulses the surrounding area for hostiles and visually highlights them on the agent's HUD.,,Duration,Coil Slot,Housing Slot,
