Slot,Type,Name,valPos,pos,valNeg,neg,Spec
Optic,Ironsights,Open Iron Sights,30,Accuracy,,,A
Optic,Ironsights,Streamlined Iron Sights,14,Reload Speed,,,A
Optic,Ironsights,Weighted Iron Sights,30,Stability,,,A
Optic,Micro,Low Reflex Sight,15,Headshot Damage,-25,Optimal Range,A
Optic,Neutral,Rugged Mini Reflex Sight,5,Critical Hit Chance,,,A
Optic,Short,PRO Red Dot Sight,30,Stability,,,A
Optic,Short,Reflex Sight,12,Weapon Handling,,,A
Optic,Short,Russian Red Dot Sight,10,Critical Hit Damage,,,A
Optic,Short,T2 Micro Red Dot Sight,30,Accuracy,,,A
Optic,Long,552 Holo Sight,30,Accuracy,,,A
Optic,Long,ACOG Scope (4x),50,Optimal Range,,,A
Optic,Long,C79 Scope (3.4x),5,Critical Hit Chance,,,A
Optic,Long,CQBSS Scope (8x),30,Headshot Damage,,,A
Optic,Long,Digital Scope [Sharpshooter],45,Headshot Damage,-5,Critical Hit Damage,Sharpshooter
Optic,Short,EXPS3 Holo Sight,10,Headshot Damage,,,A
Optic,Long,VX1 Scope (12x),35,Headshot Damage,-10,Reload Speed,A
Under Barrel,Gadget,Compact Coupled Laser Pointer,10,Headshot Damage,,,A
Under Barrel,Gadget,Compact Coupled Small Laser Pointer,10,Critical Hit Chance,,,A
Under Barrel,Gadget,Pistol Flashlight,,,,,A
Under Barrel,Side,Laser Pointer,5,Critical Hit Chance,,,A
Under Barrel,Side,Small Laser Pointer [Demolitionist],7,Critical Hit Chance,,,Demolitionist
Under Barrel,Short,Angled Grip,30,Stability,,,A
Under Barrel,Short,Vertical Grip,30,Accuracy,,,A
Under Barrel,Long,Handstop,10,Reload Speed %,,,A
Under Barrel,Long,Short Grip,10,Critical Hit Damage,,,A
Under Barrel,Long,Linked Laser Pointer [Technician],,Technician Laser Pointer,,,Technician
Under Barrel,Long,Tactical Short Grip [Firewall],15,Critical Hit Damage,,,Firewall
Magazine,.45 ACP,Extended .45 ACP Mag,10,Extra Rounds,,,A
Magazine,.45 ACP,Force Feed .45 ACP Mag,5,Rate of Fire,,,A
Magazine,.45 ACP,Oversized .45 ACP Mag,20,Extra Rounds,-10,Reload Speed,A
Magazine,.45 ACP,Precision Feeding .45 Mag,30,Stability,,,A
Magazine,.45 ACP,Short Spring .45 ACP Mag,20,Reload Speed,,,A
Magazine,5.56,Balanced Spring 5.56 Mag,30,Stability,,,A
Magazine,5.56,Infantry 5.56 Mag [Survivalist],70,Optimal Range,,,Survivalist
Magazine,5.56,Light Extended 5.56 Mag,15,Extra Rounds,,,A
Magazine,5.56,Sturdy Extended 5.56 Mag,20,Extra Rounds,-10,Reload Speed,A
Magazine,5.56,Tactical 5.56 Mag,10,Critical Hit Damage,,,A
Magazine,8.02,Light Extended 7.62 Mag,15,Extra Rounds,,,A
Magazine,8.02,Precision 7.62 Mag,10,Headshot Damage,,,A
Magazine,8.02,Sturdy Extended 7.62 Mag,20,Extra Rounds,-10,Reload Speed,A
Magazine,8.02,Thin 7.62 Mag,20,Reload Speed,,,A
Magazine,8.02,Weighted 7.62 Mag,20,Stability,,,A
Magazine,9mm,Extended 9mm Mag,20,Extra Rounds,-10,Reload Speed,A
Magazine,9mm,Heavy Spring 9mm Mag,10,Critical Hit Damage,,,A
Magazine,9mm,Oversized 9mm Mag,10,Extra Rounds,,,A
Magazine,9mm,Segmented 9mm Mag,20,Reload Speed,,,A
Magazine,Ammunition Belt,Calibrated Link,30,Stability,,,A
