Quality,Name,Assault Rifle,Rifle,Marksman Rifle,SMG,LMG,Pistol,Shotgun,Desc,attr,val
A,Boomerang,,x,,,,,,"Critical hits have a 50% chance to return the bullet to the magazine. If a bullet is returned to the magazine, the next shot has +40% increased damage.",,
A,Breadbasket,x,x,x,x,x,x,x,Landing body shots adds a stack of bonus +55% (70%) headshot damage to the next headshot for 10s. Max stack is 3 (2).,,
A,Close & Personal,x,x,x,x,x,x,x,Killing a target within 7m grants +30% weapon damage for 10s.,,
A,Eyeless,x,x,x,x,x,x,x,"Amplifies Weapon Damage by 30% (35%) to blinded enemies. After 4 (3) kills, applies blind to the next enemy you hit.",,
A,Fast Hands,x,x,x,x,x,x,x,Critical hits add a stack of 3% (5%) reload speed bonus. Max stack is 40.,,
A,Finisher,,,,,,x,,Swapping from this weapon within 10s of killing an enemy grants 30% critical hit chance and 30% critical hit damage for 15s.,,
A,First Blood,,,x,,,,,"If scoped, your first shot fired from out of combat or after fully reloading from empty deals headshot damage to any part of the body hit. REQUIRES a Scope with 8x magnification or higher.",,
A,Frenzy,,,,,x,,,"For every 10 bullets in the magazine capacity, gain +3% rate of fire and +3% weapon damage for 9s when reloading from empty.",,
A,Ignited,x,x,x,x,x,x,x,"Deal +20% weapon damage to burning enemies. After 4 kills, applies burning to the next enemy you hit.",,
A,Killer,x,x,x,x,x,x,x,Killing an enemy with a critical hit grants +70% critical hit damage for 10s.,,
A,Lucky Shot,,x,x,,,x,,Magazine capacity is increased by 20%. Missed shots from cover have a 100% chance to return to the magazine.,Mag Size %,20
A,Measured,x,,,x,x,,,The top half of the magazine has 20% rate of fire and -30% weapon damage. The bottom half of the magazine has -20% rate of fire and 30% total weapon damage.,,
A,Naked,,,x,,,,,Hitting an enemy with no armor grants +50% headshot damage for 5s.,,
A,Near Sighted,x,,,,,,,Receive +80% stability at the cost of -35% optimal range.,,
A,On Empty,x,,,,,,,Reloading from empty grants +30% weapon handling for 10s.,,
A,Optimist,x,x,x,x,x,x,x,Weapon damage is increased by +3% for every 10% ammo missing from the magazine.,,
A,Outsider,,,,x,,,,"After killing an enemy, gain 100% optimal range and +100% accuracy for 10s.",,
A,Overflowing,x,,,,,,,Every 3 reloads from empty increases your base magazine capacity by 100%.,,
A,Overwhelm,,,,,x,,,"Suppressing an enemy, that is not currently suppressed, grants +10% weapon damage for 12 seconds. Max stack is 4.",,
A,Perpetuation,x,x,x,x,x,x,x,Headshots grant +50% status effect damage and duration to the next status effect you apply. Cooldown: 20s,,
A,Preservation,x,x,x,x,x,x,x,"Killing an enemy repairs 10% armor over 5s. 
Headshot kills improve the repair by an additional 10%.",,
A,Pummel,,,,,,,x,3 consecutive kills refill the magazine and grant +40% weapon damage for 10s.,,
A,Pumped Up,,,,,,,x,Reloading grants +1% weapon damage for 10s. Stacks up to 25 times.,,
A,Ranger,x,x,x,x,x,x,x,Amplifies weapon damage by 2% for every 5m you are away from your target.,,
A,Reformation,x,x,x,x,x,x,x,Headshots grant +30% skill repair for 15s.,,
A,Rifleman,,x,,,,,,Landing headshots adds a stack of bonus +10% weapon damage for 5s. Max stack is 5. Additional headshots refresh the duration.,,
A,Sadist,x,x,x,x,x,x,x,"Deal +30% weapon damage to bleeding enemies. After 4 kills, applies bleed to next enemy you hit.",,
A,Salvage,,,,,,x,,Killing a target has a +70% chance to refill the magazine.,,
A,Spike,x,x,x,x,x,x,x,Headshots grant +20% skill damage for 15s.,,
A,Steady Handed,x,x,x,x,x,x,x,"Hits grant a stack of +1% Accuracy and Stability. At 100 stacks, consumes them to refill the magazine.",,
A,Strained,x,x,x,x,x,x,x,Gain +10% critical hit damage for every 0.5s you are firing. Stacks up to 5 times.,,
A,Unhinged,,,,,x,,,Grants +18% weapon damage at the cost of -25% Stability and -25% Accuracy.,Weapon Damage,18
A,Unwavering,,,,x,,,,Swapping to this weapon grants +300% weapon handling for 5s. Kills refresh the buff. Swapping away disables this from all weapons for 5s.,,
A,Vindictive,x,x,x,x,x,x,x,Killing an enemy with a status effect applied grants you and all allies within 15m 15% critical hit chance and 15% critical hit damage for 20s.,,
E,Electromagnetic Accelerator,,,,,,,,Shots fired deal 0-100% weapon damage based on how long the trigger is held before releasing.,,
E,Big Game Hunter,,,,,,,,"When Scoped, switches to semi-automatic fire mode, dealing 450% weapon damage with each shot. 

Headshots grant +6% headshot damage.   Stacks up to 25 times, 

Once at full stacks, 10 stacks decay every 4 seconds until all stacks have been removed. 

Headshots delay decaying of stacks.",,
E,Eagle's Strike,,,,,,,,"Accuracy increases as you continuously fire, up to +30%. 
Headshot kills grant the Tenacity buff for 15s. 
The strength of Tenacity is increased by 1% for body shots and 5% for headshots. 

Tenacity: 40%-80% of damage taken is delayed until the buff expires. 
All of the total delayed damage is reduced for each enemy killed while the buff is active, up to 100% with 3 kills.",,
E,Tenacity,,,,,,,,"40%-80% of damage taken is delayed until the buff expires. 
All of the total delayed damage is reduced for each enemy killed while the buff is active, up to 100% with 3 kills.",,
E,Adaptive Instincts,,,,,,,,"Hitting 30 headshots grants +20% critical hit chance and +50% critical hit damage for 45s. 

Hitting 65 body shots grants +90% weapon damage for 45s. 

Hitting 20 leg shots grants +150% reload speed for 45s. 

Buffs refresh when out of combat.",,
E,Bullet Hell,,,,,,,,"This weapon never needs to be reloaded. 
For every 100 bullets that hit an enemy, replenish some ammo to you and your allies' reserves.",,
