Variant,Name,Slot,Quality,Weapon Type,Base Damage,Optimal Range,RPM,Mag Size,Reload Speed (ms),HSD,Core 1,Core 1 Max,Core 2,Core 2 Max,Attribute 1,Talent,Optics,Under Barrel,Magazine,Muzzle,Icon,Icon Ref
AUG,The Bighorn Full-Auto Mode,P,Exotic,Assault Rifle,57218,40,800,42,1800,55,Assault Rifle Damage,15,Health Damage,21,Critical Hit Damage,Big Game Hunter,The Bighorn,The Bighorn,The Bighorn,The Bighorn,the-bighorn.png,w_ar_steyr_aug_a3_ar_t1
P416,Eagle Bearer,P,Exotic,Assault Rifle,47364.5,26,850,30,2130,55,Assault Rifle Damage,15,Health Damage,21,Damage to TOC,Eagle's Strike,Eagle Bearer,Eagle Bearer,Eagle Bearer,Eagle Bearer,eagle-bearer.png,w_ar_m4_exotic_t1
Vector,Chameleon,P,Exotic,Assault Rifle,44670.5,20,900,30,2400,50,Assault Rifle Damage,15,Health Damage,21,Damage to TOC,Adaptive Instincts,Chameleon,Chameleon,Chameleon,Chameleon,chameleon.png,w_ar_krissvector_exotic_t1
ACR,ACR,P,High End,Assault Rifle,58896.5,31,650,30,1910,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,acr.png,w_ar_acr_t1
ACR,ACR-E,P,High End,Assault Rifle,58896.5,31,650,30,1910,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long / Ironsights,Side / Short / Long,5.56,5.56,acr.png,w_ar_acr_t1
AK-47,AK-M,P,High End,Assault Rifle,67175,27,600,30,2300,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short,8.02,,ak47.png,w_ar_ak47_t1
AK-47,Black Market AK-M,P,High End,Assault Rifle,64716.5,27,600,30,2300,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,ak47.png,w_ar_ak47_t1
AK-47,Black Market AK-M Replica,P,High End,Assault Rifle,64716.5,27,600,30,2300,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,ak47.png,w_ar_ak47_t1
AK-47,Military AK-M,P,High End,Assault Rifle,64716.5,27,600,30,2300,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,ak47.png,w_ar_ak47_t1
AUG,AUG A3-CQC,P,High End,Assault Rifle,57218,26,680,42,2160,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long / Ironsights,Side / Short,5.56,5.56,aug.png,w_ar_aug_t1
Carbine 7,Carbine 7,P,High End,Assault Rifle,49790,28,790,30,2020,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,5.56,5.56,carbine_7.png,w_ar_carbine_7_t1
F2000,F2000,P,High End,Assault Rifle,49104,31,850,30,2400,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long / Ironsights,,5.56,5.56,f2000.png,w_ar_f2000_t1
F2000,F2000 Replica,P,High End,Assault Rifle,49104,31,850,30,2400,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long / Ironsights,,5.56,5.56,f2000.png,w_ar_f2000_t1
FAL,FAL,P,High End,Assault Rifle,57646,35,700,20,2140,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,fal.png,w_ar_fal_t1
FAL,FAL SA-58,P,High End,Assault Rifle,57646,35,700,20,2140,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,fal.png,w_ar_fal_t1
FAL,FAL SA-58 Para,P,High End,Assault Rifle,57646,35,700,20,2140,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,fal.png,w_ar_fal_t1
FAL,FAL SA-58 Para Replica,P,High End,Assault Rifle,57646,35,700,20,2140,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,8.02,8.02,fal.png,w_ar_fal_t1
FAMAS,FAMAS 2010,P,High End,Assault Rifle,45272.5,26,900,30,2490,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short,5.56,5.56,famas.png,w_ar_famas_t1
FAMAS,FAMAS 2010 Replica,P,High End,Assault Rifle,45272.5,26,900,30,2490,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short,5.56,5.56,famas.png,w_ar_famas_t1
G36,G36 C,P,High End,Assault Rifle,52564,35,750,30,2340,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short,5.56,5.56,g36.png,w_ar_g36_t1
G36,G36 Enhanced,P,High End,Assault Rifle,52564,35,750,30,2340,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,5.56,5.56,g36.png,w_ar_g36_t1
G36,G36 Enhanced Replica,P,High End,Assault Rifle,52564,35,750,30,2340,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,5.56,5.56,g36.png,w_ar_g36_t1
G36,Military G36,P,High End,Assault Rifle,52564,35,750,30,2340,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,5.56,5.56,g36.png,w_ar_g36_t1
M4,Police M4,P,High End,Assault Rifle,46917.5,31,850,30,2240,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,5.56,5.56,m4.png,w_ar_m4_t1
M4,Police M4 Replica,P,High End,Assault Rifle,46917.5,31,850,30,2240,55,Assault Rifle Damage,15,Health Damage,21,A,A,Neutral / Short / Long,Side / Short / Long,5.56,5.56,m4.png,w_ar_m4_t1
